alias,direccion,tipo_de_propiedad,amueblado,niveles,recamaras,banos,medios_banos,cuarto_de_servicio,estacionamientos,terreno,frente,fondo,construccion,forma,uso_de_suelo,relieve,precio,mantenimiento,estado,antiguedad,gravamen,descripcion
Altanza,"Av. Paseo Altanza 2132 Lote 123, Col. El triángulo, Zapopan, Jalisco",casa,,2,3,4,0,0,2,191,8.52,22.77,268,regular,habitacional,plano,10500000,0,excelente,0,no,"Casa en venta a estrenar en Coto Altanza, cuenta con acabados de lujo, cochera para dos autos, sala-comedor con vista al jardín. El coto cuenta con amenidades como alberca, gimnasio, terraza para eventos y seguridad 24/7."
Altavista,"Alta Vista 450 248, Col. Altavista residencial, Zapopan, Jalisco",casa,,2,3,2,1,0,2,102,6,17,102,regular,habitacional,plano,3600000,900,bueno,12,si,"Casa de tres recámaras ubicada en coto con excelente ubicación, con áreas verdes y terraza con alberca"
Bosques Vallarta,"CIRCUITO DEL BOSQUE 493 5, Col. Bosques vallarta, Zapopan, Jalisco",casa,,3,4,4,0,0,2,165.31,8,20.5,235,regular,habitacional,plano,6990000,0,excelente,0,no,"HERMOSA CASA DENTRO DE COTO PRIVADO CONTROLADO FRENE A PARQUE CON 4 RECAMARAS CON BAÑO COMPLETO LA PRINCIPAL CON WALK-IN-CLOSET, ESTUDIO Y/O 5TA. RECAMARA EN ROOF TOP, CON TERRAZA CON VISTA A LA PRIMAVERA , SALA COMEDOR, COCINA INTEGRAL EQUIPADA CON ESTUFA Y CAMPANA, CUBIERTA DE GRANITO, COCHERA DOS AUTOS, SERVIDUMBRE LATERAL, SISTEMA HIDRÁULICO CISTERNA-BOMBA-TINACO, CALENTADOR DE PASO."
Bugambilias,"Remanso de las Jirafas Pte. 225, Col. Ciudad bugambilia, Zapopan, Jalisco",casa,,2,3,3,1,1,4,535,11.5,31.18,485,regular,habitacional,plano,10000000,0,bueno,35,no,"Propiedad en buen estado con jardín perimetral, bien iluminada, en buen estado y lista para habitar. El cuarto de servicio cuenta con baño completo y área de lavado."
Capital Norte Coto Carrara,"Avenida Paseo de la Cantera 765 107, Col. Sendas residencial, Zapopan, Jalisco",casa,,3,4,3,1,1,2,114.7,7,16.38,175.24,regular,habitacional,plano,3950000,1200,excelente,0,no,
Capital Norte Coto Sivec 73,"Av. D 575 73, Col. Sendas residencial, Zapopan, Jalisco",casa,,3,3,3,1,1,2,115.2,7,16.5,172.31,regular,habitacional,plano,3950000,0,excelente,0,no,
Capital Norte Coto Carrara,"Avenida Paseo de a Cantera 765 Coto Carrara 193, Col. Valle imperial, Zapopan, Jalisco",casa,,3,4,5,0,1,2,143.25,7.13,21.09,225,regular,habitacional,plano,5200000,0,excelente,0,no,
Capital Norte Coto Sienna,"Paseo de la Cantera 702 Casa 28, Col. Sendas residencial, Zapopan, Jalisco",casa,,3,3,2,1,0,2,112,7,16,163,regular,habitacional,plano,3900000,1200,excelente,0,no,
Capuchinas Chapalita,"Capuchinas 2961, Col. Chapalita, Guadalajara, Jalisco",casa,,2,3,2,0,1,2,362,22.05,14.54,239,regular,"comercial, habitacional",plano,12000000,0,regular,45,no,
El Manantial,"Av. López Mateos Sur 5560, Col. El manantial, Tlajomulco de zúñiga, Jalisco",casa,,2,4,4,1,1,4,289,11,25,260,regular,habitacional,plano,8100000,0,excelente,5,no,
El Palomar,"Avenida Paseos del Palomar 123, Col. El palomar, Tlajomulco de zúñiga, Jalisco",casa,,2,4,3,2,0,6,587,15,39.17,499,regular,habitacional,plano,12990000,800,excelente,8,no,
El Vado,"Calle Arsenisca Sur 23, Col. El vado, Tonalá, Jalisco",casa,,2,2,1,1,0,1,67.5,4.5,15,67.5,regular,habitacional,plano,1100000,0,bueno,11,no,
Fracc. Las Torres,"Almendra, Col. Las torres, Guadalajara, Jalisco",casa,,2,5,2,0,0,2,100,8,12.5,207,regular,habitacional,plano,3000000,0,regular,45,si,
La Cúspide,"La cúspide norte 310 14, Col. La cúspide, Zapopan, Jalisco",casa,,2,4,3,0,0,1,108.5,16,6,204.8,regular,habitacional,plano,985000,0,bueno,0,si,
Los Robles,"Calle 6 1754, Col. Campestre los robles, Zapopan, Jalisco",casa,,2,4,2,0,0,2,287.69,14.6,22.33,222.8,regular,habitacional,plano,5990000,0,excelente,11,no,
Pinar de la Venta,"Pinar de la Venta, Col. Pinar de la venta, Zapopan, Jalisco",casa,,3,3,3,1,1,3,1311,40.03,32.55,329.52,irregular,habitacional,plano,10700000,1400,bueno,12,no,
Valle de los Encinos II,"Coto Valle del Colomo 566 26, Col. Valle de los encinos, Tlajomulco de zúñiga, Jalisco",casa,,2,2,1,1,0,1,69.46,4.3,16.14,69.46,regular,Habitacional,plano,850000,0,bueno,7,si,
Villalta 3,"Calle Villa Adelina 1 5-A, Col. Villalta, Tlajomulco de zúñiga, Jalisco",casa,,2,3,1,1,0,1,72,6,12,70.94,regular,habitacional,plano,1250000,130,excelente,10,si,
Distrito Chapultepec,"Calle Vidrio 1984 Int. 2A, Col. Moderna, Guadalajara, Jalisco",departamento,,1,3,2,0,0,1,95.66,,,95.66,regular,habitacional,plano,5740000,0,excelente,3,no,
Lobby 33,"Avenida Patria 1891 VPV129, Col. Puerta de hierro, Zapopan, Jalisco",departamento,si,1,3,3,1,1,2,217.5,,,217.5,regular,habitacional,plano,19500000,11300,excelente,3,no,
Paseos del Sol,"Araceli Souza 5189 Departamento 5, Col. Paseos del sol, Zapopan, Jalisco",departamento,,1,2,1,0,0,1,78.39,,,78.39,regular,habitacional,plano,2650000,0,bueno,40,no,
